YPF,Tenaris,Telecom,PetrAR,PampaE,B.Gal,B.Fran,Siderar,EDN,COME,B.Macro,PetrBR,Aluar
156.5,80.5,12.35,6.1,1.69,2.04,7.85,1.51,1.46,0.29,11.1,91.5,2.8
150,77,12.5,6.18,1.71,2.13,7.98,1.53,1.41,0.3,10.85,91.5,2.67
150,76.3,12.8,6.34,1.61,2.05,7.9,1.52,1.35,0.29,10.9,93.3,2.59
150,76,12.5,6.54,1.58,1.97,7.85,1.48,1.3,0.31,10.55,96,2.52
143,75.5,12.5,6.38,1.64,2,8,1.56,1.31,0.31,10.75,96,2.46
139,78.05,12.65,6.48,1.73,2.14,8,1.56,1.44,0.33,10.85,95,2.53
141,77.1,13.2,6.42,1.68,2.19,8.65,1.58,1.43,0.32,12.15,95.8,2.56
145,77.5,13.2,6.5,1.71,2.2,8.35,1.5,1.56,0.35,12.5,94.4,2.5
143,68,12.3,6.49,1.67,2.22,7.65,1.67,1.49,0.3,11.5,87.65,2.37
148,76.9,13.65,6.95,1.84,2.25,8.7,1.5,1.63,0.34,11.8,95,2.63
152,72.45,13.25,7.12,1.88,1.97,8.02,1.48,1.66,0.51,10.3,95.4,2.61
145,71,13.35,7.08,1.91,1.98,8.1,1.48,1.53,0.55,9.97,90.2,2.66
141,65.2,12.05,6.8,1.9,1.83,7,1.45,1.44,0.52,9.44,88,2.62
146,67.65,11.2,7.32,1.83,1.68,7,1.34,1.44,0.54,9,86,2.61
149,67,10.8,7.2,1.68,1.68,6.9,1.21,1.27,0.5,8.68,85,2.43
147,62.4,10.8,7.2,1.66,1.54,7.2,1.12,1.21,0.51,8.75,84,2.25
140,57.9,11.1,7.1,1.57,1.53,7.25,1.15,1.18,0.5,8.61,81.15,2.22
149,56.95,11.4,7,1.49,1.52,6.9,1.2,1.14,0.52,8.65,79,2.25
147,59,11.6,6.9,1.41,1.53,6.8,1.17,1.14,0.51,7.65,86,2.25
143,58.7,11.4,6.85,1.36,1.42,6.32,1.16,1.11,0.49,6.55,82,2.25
136,60,10.6,7.5,1.42,1.49,6.38,1.08,1.19,0.5,7.12,81.7,2.37
138.5,59.8,10.6,7.2,1.32,1.4,5.96,0.94,1.2,0.53,6.7,81.5,2.29
133.2,57.1,10.2,7.1,1.28,1.37,5.53,0.92,1.14,0.55,6.3,81.4,2.16
138,55.2,10.3,6.8,1.27,1.38,5.56,0.85,1.13,0.45,6.7,79.9,2.15
143,48.8,9.65,6.3,1.18,1.26,4,0.85,1.1,0.45,6.4,71.9,2.04
132,50.1,10,6.3,1.28,1.33,5.55,0.76,1.2,0.51,6.2,76,2.18
118,55,9.4,6.3,1.21,1.23,5.45,0.73,1.05,0.53,6,82.5,2.18
116,51.8,8.6,6.25,1.13,2.5,5.3,0.78,1.05,0.53,5.8,79.5,1.95
135,57,8.1,6.3,1.18,1.2,5.8,0.71,1.07,0.54,5.9,85.8,2.02
132,58.1,7.9,6.5,1.14,1.18,6.1,0.69,1,0.43,6.1,81.5,1.79
140,61.6,6.9,7,1.09,1.06,5.42,0.86,0.94,0.34,5.4,88,1.71
119,55.8,7.85,7,1.15,1.09,5.2,0.85,1,0.37,5.87,79,1.82
109.5,51.5,7.4,6.98,1.08,1.1,4.82,0.81,1.01,0.26,5.55,73,1.67
108,52.95,7.85,6.98,1.06,0.93,4.53,0.65,1,0.27,5.4,73.5,1.68
108.5,50,6.8,6.7,0.96,0.74,3.8,0.61,0.8,0.24,4.25,65,1.49
99.9,46.55,6.2,6.4,0.99,0.75,3.6,0.65,0.75,0.24,3.96,62,1.47
100,43.5,6.18,6.2,0.99,0.78,3.48,0.67,0.78,0.25,3.91,64,1.46
97.3,42.5,5.65,6,0.96,0.75,3.44,0.68,0.71,0.26,3.85,66.45,1.44
96,42.2,5.98,6,1,0.71,3.32,0.65,0.73,0.26,3.77,66.3,1.39
99,37.95,5.9,6,1,0.64,3.08,0.63,0.69,0.25,3.85,60,1.38
94,37.65,5.5,6,0.93,0.63,2.75,0.62,0.65,0.26,3.8,62.5,1.36
64,34.45,5.4,5.4,0.99,0.68,2.78,0.65,0.7,0.25,3.73,55.5,1.28
75.5,29.75,5.1,6.3,1.01,0.62,2.55,0.68,0.67,0.25,3.59,50.05,1.24
106,31.5,5.25,6.3,1,0.66,2.8,0.82,0.63,0.25,3.55,51.2,1.31
124,36,5.18,6.3,1.02,0.69,2.85,0.86,0.67,0.27,3.75,49.5,1.32
152,39.6,5.82,6.3,1.01,0.76,3.15,0.89,0.73,0.29,3.83,55,1.6
153.5,40.7,6.06,6.7,0.95,0.72,3.3,0.9,0.74,0.31,3.85,52.5,1.71
149.9,34.95,5.7,6.5,0.96,0.73,3.22,0.92,0.76,0.29,3.7,45.6,1.74
152,35.6,5.75,6.5,1,0.73,3.33,0.92,0.81,0.31,3.85,43.2,1.77
155,36.5,5.77,6.5,1.02,0.75,3.67,1.01,0.85,0.31,4,37.6,1.8
154,39.55,6.2,6.6,1.03,0.82,3.82,1.11,0.81,0.31,4.1,37.6,2.21
160,38.7,6.09,7,1.04,0.86,3.9,1.12,0.78,0.3,4.02,37.6,2.22
160,36.5,6,6.5,0.95,0.85,3.85,1.19,0.7,0.29,4,37.6,2.16
159,37,6.3,6.5,1,0.83,4.05,1.23,0.78,0.29,4,42.5,2.18
160,37,6.41,6.5,1.06,0.79,3.92,1.08,0.79,0.23,3.98,41,2.31
162,35.8,5.8,7.5,1.1,0.68,3.4,1.15,0.76,0.22,3.65,31.4,2.11
161,34.6,5.75,7.5,0.89,0.68,3.35,1.15,0.69,0.23,3.6,35,2.07
159,34.25,4.85,7.4,0.79,0.61,2.64,1.42,0.64,0.23,2.75,31,1.98
169.7,41.7,5.03,7.4,0.8,0.71,3.05,1.51,0.66,0.24,3.3,38,2.02
177,43,5.85,7.4,0.86,0.81,3.65,1.35,0.7,0.29,3.66,54.3,2.37
153,39,4.7,7.5,0.78,0.71,3.1,1.15,0.69,0.26,2.7,50.5,2.59
143,29,3.85,7.5,0.78,0.66,2.4,1.42,0.56,0.21,2.65,38.5,1.92
137,41,7.3,7.5,1.15,1.13,4.07,1.45,0.98,0.3,4.1,46.6,2.67
148,47.5,7,6.3,1.12,1.14,3.9,1.65,0.9,0.29,5.13,42,2.5
148,47,7.5,8.45,1.25,1.4,4.75,1.89,1.06,0.32,5.9,51,2.88
151.8,62.9,8.37,9.1,1.36,1.5,5.1,1.92,1.24,0.36,6.25,67,3.19
151.5,76.8,7.5,8.45,1.37,1.44,5.15,1.81,1.22,0.38,5.8,75,3.26
150,69,7.68,8.1,1.29,1.22,4.97,1.89,1.35,0.38,5.99,67,3.15
148,71.9,8.1,9.51,1.45,1.5,5.84,1.95,1.53,0.41,6.2,71.5,3.54
147,83.45,8.33,8.5,1.41,1.45,5.72,2.08,1.5,0.45,6.1,80,3.3
147,82,8.11,8.6,1.39,1.38,5.5,1.98,1.55,0.4,6,81.25,3.24
145,78,8.32,10,1.78,1.55,5.26,2.02,2.07,0.45,5.81,83.5,3.58
145,84,8.32,10,1.42,1.55,5.26,2.04,2.07,0.45,5.81,83.5,3.58
145,91,8.32,10,1.58,1.55,5.26,1.98,2.07,0.45,5.81,83.5,3.58
145,92.25,8.35,10,1.75,1.55,5.35,2.03,2.09,0.45,5.78,81.1,3.65
147,95.8,8.33,10,1.65,1.63,5.45,2.01,1.79,0.4,5.55,91,3.73
150.5,108.2,8.25,10,1.44,1.49,5,2.12,1.49,0.37,5.2,99.2,3.89
151,109.3,9.15,10,1.45,1.59,5.55,2.34,1.69,0.41,5.52,106.2,3.82
151.5,117,9.44,9.6,1.52,1.61,5.7,2.23,1.85,0.45,5.53,113,4.12
152,109,10.2,9.9,1.57,1.74,5.75,2.27,2.02,0.47,6.08,107.3,4.21
151.5,101,11.05,10.1,1.69,1.66,5.69,2.33,2.28,0.48,6.36,108.6,4.34
152,104.5,12,11.4,1.84,1.72,6.3,2.28,2.5,0.5,6.9,110,4.55
154,97,12.05,11.4,1.9,1.74,6.51,2.23,2.65,0.51,7.22,113,4.65
155,97.5,12.15,11,1.96,1.86,6.9,2.04,2.79,0.53,6.97,118,4.66
150,96.95,11.5,10.95,1.82,1.86,6.9,2.05,2.83,0.5,6.28,116,4.55
148,87.3,12,11.2,1.99,1.96,6.62,1.98,2.95,0.54,7.06,105,4.41
144,86.5,11.4,10.6,2.07,2,6.86,2,2.97,0.55,7.3,101,4.46
146,84.5,11.25,10.8,2.18,2.05,6.6,2.04,3.03,0.56,7.55,103,4.47
144,89.55,12.4,10,2.35,2.18,7.5,1.88,3.23,0.59,8,101,4.55
137,81,13.1,9.25,2.35,2.18,6,2.01,3.2,0.58,7.9,90.25,4.47
142,81.7,13.8,9.1,2.41,2.18,7.93,1.98,3.25,0.6,8.34,90.75,4.64
140,80.15,13.5,8.5,2.41,2.13,7.9,1.95,3.11,0.6,8.04,82.75,4.64
136,75.5,12.15,8.2,2.28,2.09,7.65,1.99,3.02,0.61,7.6,78.35,4.33
140,75,13,8.8,2.28,2.18,7.75,1.93,2.85,0.64,5,84.25,4.43
131,74.05,13.6,9.4,2.47,2.28,8.3,2.03,3.09,0.67,6,90,4.51
129,71,14.5,9.6,2.45,2.28,8.35,2.02,3.17,0.62,6,94,4.48
133.8,66.75,14.6,9.9,2.35,2.21,7.91,2.02,3.05,0.59,7.6,95,4.55
126.25,61,14.7,9.4,2.27,2.2,8.1,2,3.07,0.59,7.55,92.75,4.52
122.5,61,13.25,10.2,2.25,2.09,7.95,2.08,3.14,0.59,7.33,89.5,4.32
121,65.25,13.25,9.7,2.3,2.06,7.94,2,3.4,0.6,7.85,90,4.31
124,61.55,12.6,9.4,2.12,1.95,7.58,1.86,3.32,0.58,7.4,81,4.29
120,56.9,12.7,9.4,2.2,2,7.1,1.98,3.3,0.56,6.93,72.47,4.35
136,64.2,14.7,10,2.34,2.27,7.88,1.95,3.45,0.6,7.55,88.5,4.59
138.5,68,13.7,11,2.46,2.26,7.85,1.88,3.44,0.61,7.3,87.5,4.56
130,70.3,14.3,9.3,2.43,2.3,8.45,1.92,3.45,0.64,7.7,91.5,4.59
125,70,14.4,9.2,2.57,2.23,8.1,1.95,3.5,0.6,7.47,90,4.51
118,70.5,14.95,10,2.61,2.3,8.45,2.06,3.47,0.67,7.6,83,4.65
118,73.8,15.7,9.8,2.72,2.45,9.16,2.03,3.59,0.67,8.05,84,4.73
120,73.95,16.5,8.4,2.71,2.35,8.96,1.94,3.65,0.66,7.99,75,4.66
124,73.5,15.75,8.6,2.78,2.37,9.03,1.99,3.65,0.67,8.23,80,4.7
124,73.9,16,8.05,2.93,2.41,9.5,2.05,3.62,0.7,8.6,82.5,4.76
126.5,74,15.7,9,2.93,2.43,9.6,2.12,3.8,0.73,9,87.5,4.88
132.5,81,15.15,9,2.9,2.43,9.5,2.09,3.97,0.8,8.63,71.5,4.83
142,85,14.9,9,2.86,2.6,10.2,1.96,4,0.73,9.2,73.25,5.21
132,80.85,15.7,7.9,2.6,2.45,9.56,1.92,3.67,0.58,9.5,63.45,5.05
127,84,16.3,8.8,2.74,2.54,9.77,1.95,3.77,0.61,9.8,67,5.05
124,83.8,15.8,8,2.82,2.6,10,1.78,3.85,0.62,9.95,62,5.03
123.9,85,15.5,7.5,2.79,2.49,9.4,1.72,3.89,0.56,9.35,60.65,4.94
123,82.75,15.1,8.15,2.66,2.5,9.36,1.68,3.5,0.56,9.06,58,4.75
117,73.8,14.8,7.1,2.6,2.45,9,1.6,3.38,0.56,8.9,52,4.74
126.8,70.25,15.2,7.1,2.63,2.47,9.05,1.56,3.5,0.58,8.4,51.5,4.96
125.5,75.15,16.6,7.4,2.58,2.57,9.85,1.58,3.5,0.57,8.7,49.75,4.8
